---------------------------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations UserCounters...
Vector/RemoveMiddle/10000/manual_time                            1162 ns         1187 ns         8801 items_per_second=860.311k/s
Vector/RemoveMiddle/100000/manual_time                          17443 ns        17489 ns          802 items_per_second=57.3289k/s
Deque/RemoveMiddle/10/manual_time                                14.7 ns         34.1 ns       907565 items_per_second=68.0683M/s
Deque/RemoveMiddle/50/manual_time                                20.8 ns         40.9 ns       676939 items_per_second=48.1792M/s
Deque/RemoveMiddle/100/manual_time                               25.6 ns         45.7 ns       552115 items_per_second=39.0872M/s
Deque/RemoveMiddle/500/manual_time                               44.0 ns         64.1 ns       313800 items_per_second=22.7374M/s
Deque/RemoveMiddle/1000/manual_time                              59.3 ns         79.3 ns       230699 items_per_second=16.8764M/s
Deque/RemoveMiddle/10000/manual_time                              366 ns          388 ns        32278 items_per_second=2.73452M/s
Deque/RemoveMiddle/100000/manual_time                            8893 ns         8917 ns         1581 items_per_second=112.452k/s
VecDeque/RemoveMiddle/10/manual_time                             12.8 ns         32.3 ns      1089249 items_per_second=78.3675M/s
VecDeque/RemoveMiddle/50/manual_time                             18.5 ns         38.5 ns       757435 items_per_second=54.1531M/s
VecDeque/RemoveMiddle/100/manual_time                            24.2 ns         44.4 ns       578853 items_per_second=41.2846M/s
VecDeque/RemoveMiddle/500/manual_time                            51.7 ns         72.3 ns       270167 items_per_second=19.3448M/s
VecDeque/RemoveMiddle/1000/manual_time                           83.4 ns          104 ns       170269 items_per_second=11.9924M/s
VecDeque/RemoveMiddle/10000/manual_time                           749 ns          774 ns        16919 items_per_second=1.33487M/s
VecDeque/RemoveMiddle/100000/manual_time                        19824 ns        19853 ns          707 items_per_second=50.444k/s
BlockOrderBook/RemoveMiddle/10/manual_time                       18.9 ns         43.2 ns       681154 items_per_second=52.9518M/s
BlockOrderBook/RemoveMiddle/50/manual_time                       28.0 ns         64.5 ns       497767 items_per_second=35.6674M/s
BlockOrderBook/RemoveMiddle/100/manual_time                      28.3 ns         64.7 ns       490529 items_per_second=35.2985M/s
BlockOrderBook/RemoveMiddle/500/manual_time                      29.1 ns         62.1 ns       479459 items_per_second=34.3846M/s
BlockOrderBook/RemoveMiddle/1000/manual_time                     32.9 ns         67.7 ns       432742 items_per_second=30.369M/s
BlockOrderBook/RemoveMiddle/10000/manual_time                    84.6 ns          175 ns       196130 items_per_second=11.818M/s
BlockOrderBook/RemoveMiddle/100000/manual_time                   61.9 ns          525 ns       287949 items_per_second=16.1642M/s
Container        Algorithm                         ns/iter     ns/query         items/s
BlockOrderBook   BulkCopy/Contiguous/10              60.31          n/a             n/a
Deque            BulkCopy/Contiguous/10              18.87          n/a             n/a
VecDeque         BulkCopy/Contiguous/10              21.04          n/a             n/a
Vector           BulkCopy/Contiguous/10              18.37          n/a             n/a
BlockOrderBook   BulkCopy/Contiguous/100            174.31          n/a             n/a
Deque            BulkCopy/Contiguous/100             54.96          n/a             n/a
VecDeque         BulkCopy/Contiguous/100            204.26          n/a             n/a
Vector           BulkCopy/Contiguous/100            125.98          n/a             n/a
BlockOrderBook   BulkCopy/Contiguous/1000           752.07          n/a             n/a
Deque            BulkCopy/Contiguous/1000           365.85          n/a             n/a
VecDeque         BulkCopy/Contiguous/1000          1198.61          n/a             n/a
Vector           BulkCopy/Contiguous/1000          1246.20          n/a             n/a
BlockOrderBook   BulkCopy/Contiguous/10000         3613.84          n/a             n/a
Deque            BulkCopy/Contiguous/10000         4407.41          n/a             n/a
VecDeque         BulkCopy/Contiguous/10000        10647.52          n/a             n/a
Vector           BulkCopy/Contiguous/10000         9932.96          n/a             n/a
BlockOrderBook   BulkCopy/Contiguous/100000       30151.28          n/a             n/a
Deque            BulkCopy/Contiguous/100000       39938.77          n/a             n/a
VecDeque         BulkCopy/Contiguous/100000       57870.56          n/a             n/a
Vector           BulkCopy/Contiguous/100000       49239.46          n/a             n/a
BlockOrderBook   BulkCopy/Contiguous/50             116.03          n/a             n/a
Deque            BulkCopy/Contiguous/50              35.11          n/a             n/a
VecDeque         BulkCopy/Contiguous/50             114.50          n/a             n/a
Vector           BulkCopy/Contiguous/50              71.82          n/a             n/a
BlockOrderBook   BulkCopy/Contiguous/500            399.49          n/a             n/a
Deque            BulkCopy/Contiguous/500            189.18          n/a             n/a
VecDeque         BulkCopy/Contiguous/500            596.55          n/a             n/a
Vector           BulkCopy/Contiguous/500            608.90          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/10/10           21.26          n/a             n/a
Deque            BulkCopy/FixedSlice/10/10           19.24          n/a             n/a
VecDeque         BulkCopy/FixedSlice/10/10           20.27          n/a             n/a
Vector           BulkCopy/FixedSlice/10/10           17.38          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/10/100          27.49          n/a             n/a
Deque            BulkCopy/FixedSlice/10/100          25.47          n/a             n/a
VecDeque         BulkCopy/FixedSlice/10/100          27.61          n/a             n/a
Vector           BulkCopy/FixedSlice/10/100          17.77          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/10/1000         22.98          n/a             n/a
Deque            BulkCopy/FixedSlice/10/1000        134.96          n/a             n/a
VecDeque         BulkCopy/FixedSlice/10/1000        131.99          n/a             n/a
Vector           BulkCopy/FixedSlice/10/1000        105.38          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/10/10000        38.34          n/a             n/a
Deque            BulkCopy/FixedSlice/10/10000      1114.76          n/a             n/a
VecDeque         BulkCopy/FixedSlice/10/10000      1068.62          n/a             n/a
Vector           BulkCopy/FixedSlice/10/10000       743.01          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/10/100000        66.83          n/a             n/a
Deque            BulkCopy/FixedSlice/10/100000     11105.20          n/a             n/a
VecDeque         BulkCopy/FixedSlice/10/100000     10732.72          n/a             n/a
Vector           BulkCopy/FixedSlice/10/100000      7583.60          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/10/50           32.53          n/a             n/a
Deque            BulkCopy/FixedSlice/10/50           20.50          n/a             n/a
VecDeque         BulkCopy/FixedSlice/10/50           24.17          n/a             n/a
Vector           BulkCopy/FixedSlice/10/50           17.50          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/10/500          50.47          n/a             n/a
Deque            BulkCopy/FixedSlice/10/500          67.40          n/a             n/a
VecDeque         BulkCopy/FixedSlice/10/500          74.48          n/a             n/a
Vector           BulkCopy/FixedSlice/10/500          50.54          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/100/100        108.57          n/a             n/a
Deque            BulkCopy/FixedSlice/100/100         97.65          n/a             n/a
VecDeque         BulkCopy/FixedSlice/100/100         92.60          n/a             n/a
Vector           BulkCopy/FixedSlice/100/100         63.77          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/100/1000       117.75          n/a             n/a
Deque            BulkCopy/FixedSlice/100/1000       218.38          n/a             n/a
VecDeque         BulkCopy/FixedSlice/100/1000       207.16          n/a             n/a
Vector           BulkCopy/FixedSlice/100/1000       166.23          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/100/10000       127.86          n/a             n/a
Deque            BulkCopy/FixedSlice/100/10000      1190.04          n/a             n/a
